request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"32567f17-5909-48c4-9482-7bb0825ee72d",GET,/,"debug=true&locale=en",,302,,,,20851401445900,20851595353600,20851610498200
"5fef6c9a-4ce6-4497-bf73-e2456d94b40a",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=602,,20851689778200,20851722073100,20865406765800
"a1f5c9b2-6130-4623-b640-74918486ccda",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,20865782364500,20865814017900,20865816985300
"6ee86fd4-cc54-4aa3-b6d3-2f57bfad7e38",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,20865847641400,20865855166300,20865857850500
"e84463b3-6fe6-4264-b13b-05713d0d5fff",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,20865880601700,20865888233600,20865891423000
"4a3f0fbf-d581-4001-ad7f-4319bab229dd",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,20865913881800,20865922743200,20865926014400
"534838bd-9069-49ff-a41f-59e5b8492118",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,20865947060700,20865955192800,20865958543500
"ff6f94dc-f73b-4a6e-9979-1156b863b1ed",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,20865978549800,20865986927600,20865989769200
"b9152e3d-58c9-4cf2-a539-32d2f6bc13d1",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,20866007573800,20866014272800,20866016754300
"7882ad58-8776-4f1e-a3a3-f68508e4a547",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,20866032176400,20866039740800,20866042492700
"d941dbf3-9f64-4dbe-b602-b75d262532a2",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,20866058760600,20866064634900,20866066667900
"5107c998-1b22-4f53-8355-3c3f68c84075",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,20866080280900,20866087083800,20866090549100
"6e28de95-e9ec-4b88-bde8-2f0271e77529",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,20866111517500,20866118852700,20866121195500
"4165af11-2de1-43f3-9ee3-8a72e409fb8b",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,20866145494800,20866152875700,20866155538800
"d5802f97-e33d-4bf2-ac3d-08fb88fb7d77",GET,/images/banner.png,,,200,image/png,,,20866173754500,20866184390600,20866186616300
"17d93ec2-20ee-4dc3-8119-5a1c756d7d8f",GET,/images/logo.png,,,200,image/png,,,20866422588200,20866429501600,20866431907100
"55c8a5ba-a9ff-443e-bbfe-b65fff0e19cd",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,20866451161100,20866458624400,20866461086900
"c0a81613-0422-450c-a23f-d95ae3c1f19b",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,20866482043700,20866489820800,20866492162400
"fc8d7035-0136-4a16-bdb6-7027ace9e026",GET,/images/favicon.ico,,,200,image/x-icon,,,20866511259700,20866542603700,20866544833100
"28e8b72d-7ca5-48b6-b1e0-710daf9f61df",GET,"/anonymous/system/sign-in",,,200,text/html;charset=utf-8,"password=&remember=false&service=605&username=",,20866563066200,20866586045500,20871747693700
"af0d1836-f1ef-4aa6-8774-f2e2339d8635",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,20871822972300,20871828362200,20871830395800
"3999b320-d279-4e93-ae9d-16d15f09575d",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,20871844112300,20871851162700,20871854784800
